open,high,low,close,vol,Date
2165,2185,2130,2180,,2018-10-31
2080,2185,2050,2150,,2018-10-30
2225,2275,2050,2190,,2018-10-29
2340,2390,2230,2275,,2018-10-26
2330,2425,2300,2345,,2018-10-25
2535,2535,2375,2435,,2018-10-24
2540,2565,2475,2495,,2018-10-23
2565,2585,2525,2545,,2018-10-22
2455,2520,2420,2495,,2018-10-19
2480,2530,2470,2475,,2018-10-18
2465,2490,2450,2475,,2018-10-17
2445,2505,2440,2465,,2018-10-16
2365,2575,2320,2475,,2018-10-15
2260,2370,2250,2370,,2018-10-12
2680,2755,2290,2315,,2018-10-11
2585,2725,2580,2590,,2018-10-10
2640,2645,2560,2585,,2018-10-08
2605,2675,2600,2655,,2018-10-05
2600,2650,2585,2625,,2018-10-04
2610,2730,2600,2670,,2018-10-02
2575,2625,2560,2590,,2018-10-01
2605,2630,2550,2570,,2018-09-28
2630,2660,2615,2615,,2018-09-27
2645,2685,2565,2640,,2018-09-21
2690,2705,2590,2620,,2018-09-20
3115,3115,2725,2745,,2018-09-19
3100,3115,3015,3075,,2018-09-18
2975,3235,2965,3140,,2018-09-17
2960,2975,2930,2945,,2018-09-14
2930,2955,2930,2930,,2018-09-13
2940,2960,2895,2925,,2018-09-12
2930,2975,2930,2935,,2018-09-11
2930,2965,2910,2935,,2018-09-10
3095,3095,2960,2985,,2018-09-07
3025,3095,3010,3095,,2018-09-06
3030,3110,3030,3060,,2018-09-05
3050,3140,3010,3050,,2018-09-04
2990,3065,2950,3055,,2018-09-03
3010,3065,2990,3045,,2018-08-31
2970,2995,2925,2985,,2018-08-30
3050,3155,2990,3035,,2018-08-29
2840,3040,2810,2990,,2018-08-28
2980,2985,2840,2845,,2018-08-27
2790,2830,2780,2820,,2018-08-24
2795,2820,2770,2795,,2018-08-23
2775,2830,2750,2785,,2018-08-22
2725,2790,2725,2780,,2018-08-21
2745,2765,2730,2750,,2018-08-20
2710,2760,2700,2735,,2018-08-17
2700,2725,2670,2690,,2018-08-16
2715,2800,2710,2740,,2018-08-14
2700,2740,2680,2720,,2018-08-13
2700,2735,2695,2710,,2018-08-10
2745,2770,2720,2735,,2018-08-09
2710,2760,2700,2745,,2018-08-08
2710,2730,2700,2720,,2018-08-07
2725,2795,2705,2720,,2018-08-06
2720,2740,2660,2715,,2018-08-03
2715,2780,2710,2715,,2018-08-02
2770,2800,2695,2715,,2018-08-01
2750,3005,2730,2770,,2018-07-31
2695,2740,2665,2710,,2018-07-30
2650,2700,2640,2695,,2018-07-27
2600,2690,2580,2680,,2018-07-26
2710,2760,2595,2615,,2018-07-25
2785,2805,2720,2750,,2018-07-24
2880,2895,2800,2845,,2018-07-23
2810,2910,2795,2850,,2018-07-20
2875,2885,2800,2820,,2018-07-19
2970,2995,2860,2865,,2018-07-18
2960,2990,2930,2985,,2018-07-17
2980,3010,2965,2965,,2018-07-16
3000,3040,2960,3015,,2018-07-13
2950,3015,2940,3000,,2018-07-12
3040,3040,2965,2985,,2018-07-11
2980,3055,2955,3050,,2018-07-10
3050,3095,2975,3040,,2018-07-09
2920,2955,2865,2930,,2018-07-06
3070,3100,2860,2920,,2018-07-05
2965,3070,2950,3070,,2018-07-04
2955,3055,2905,2980,,2018-07-03
2935,3120,2915,3035,,2018-07-02
2950,2985,2900,2920,,2018-06-29
2895,3110,2880,3035,,2018-06-28
3010,3065,2885,2905,,2018-06-27
2870,2975,2865,2965,,2018-06-26
2845,2910,2810,2850,,2018-06-25
2905,2945,2815,2850,,2018-06-22
2905,2980,2900,2975,,2018-06-21
2810,2930,2810,2880,,2018-06-20
2840,2905,2805,2860,,2018-06-19
2980,2985,2830,2830,,2018-06-18
3025,3055,3000,3010,,2018-06-15
3190,3240,3010,3020,,2018-06-14
3280,3425,3050,3125,,2018-06-12
3240,3335,3205,3305,,2018-06-11
3205,3320,3205,3255,,2018-06-08
3180,3290,3155,3240,,2018-06-07
3340,3350,3170,3200,,2018-06-05
3310,3420,3295,3340,,2018-06-04
3290,3530,3275,3440,,2018-06-01
3455,3510,3265,3280,,2018-05-31
3430,3510,3380,3445,,2018-05-30
3400,3565,3355,3445,,2018-05-29
3185,3520,3155,3340,,2018-05-28
4235,4300,3645,3645,,2018-05-25
3435,3815,3400,3520,,2018-05-24
3655,3770,3430,3435,,2018-05-23
3480,3820,3450,3510,,2018-05-21
3590,3925,3415,3460,,2018-05-18
3595,4090,3340,3620,,2018-05-17
3490,3900,3265,3665,,2018-05-16
3120,3145,3065,3120,,2018-05-15
3025,3120,3020,3120,,2018-05-14
3095,3145,3030,3085,,2018-05-11
2965,3215,2930,3115,,2018-05-10
3115,3150,3005,3005,,2018-05-09
3185,3305,3115,3260,,2018-05-08
2925,3220,2915,3065,,2018-05-04
2935,3030,2880,2935,,2018-05-03
2820,2950,2810,2915,,2018-05-02
2900,2945,2805,2835,,2018-04-30
3145,3145,3010,3010,,2018-04-27
3075,3155,3015,3155,,2018-04-26
3000,3190,3000,3080,,2018-04-25
2940,3020,2935,3020,,2018-04-24
2970,3035,2910,2940,,2018-04-23
2950,3015,2900,3015,,2018-04-20
2930,2960,2845,2960,,2018-04-19
3005,3040,2950,2960,,2018-04-18
2995,3055,2955,3035,,2018-04-17
3030,3075,3005,3025,,2018-04-16
3050,3100,3005,3095,,2018-04-13
3080,3260,3040,3200,,2018-04-12
2985,3075,2960,3065,,2018-04-11
2885,3095,2870,3040,,2018-04-10
2850,2905,2830,2850,,2018-04-09
2925,2925,2810,2860,,2018-04-06
2890,2935,2885,2930,,2018-04-05
3000,3005,2865,2890,,2018-04-04
3100,3100,2980,3015,,2018-04-03
3055,3100,3050,3100,,2018-04-02
3030,3110,3030,3065,,2018-03-30
3070,3095,3035,3050,,2018-03-29
3200,3205,2995,3045,,2018-03-28
3055,3180,3040,3130,,2018-03-27
3050,3115,3040,3050,,2018-03-26
3025,3125,3000,3080,,2018-03-23
3165,3170,2985,3000,,2018-03-22
