,open,high,low,close,vol
20181031,23600,24500,23000,24150,
20181030,23500,24300,22650,23550,
20181029,24300,25100,23550,23600,
20181026,25850,25900,24200,24850,
20181025,25700,26050,25200,25700,
20181024,27100,27200,26000,26500,
20181023,27650,28000,26350,26650,
20181022,28050,28200,27200,27450,
20181019,28400,28400,27750,28200,
20181018,28950,29000,28600,28700,
20181017,29250,29500,28600,28950,
20181016,28400,29300,28400,29050,
20181015,29350,29400,28600,28750,
20181012,28450,29600,28450,29350,
20181011,29800,30200,28800,28900,
20181010,31500,31700,30500,30750,
20181008,31900,32200,31500,31500,
20181005,32800,33300,32300,32650,
20181004,33850,34000,32400,32800,
20181002,33150,33900,33100,33450,
20181001,32000,33400,31800,33000,
20180928,32200,32450,31600,31750,
20180927,32700,33050,32300,32500,
20180921,32050,32450,32000,32300,
20180920,31850,32200,31450,31650,
20180919,32100,32700,31500,31550,
20180918,31600,31700,31400,31450,
20180917,32300,32400,31700,31900,
20180914,32550,32950,32400,32550,
20180913,31950,33300,31950,32600,
20180912,32050,32200,31150,31400,
20180911,32100,32200,31850,31900,
20180910,32100,32450,31800,32200,
20180907,32350,32700,31950,32300,
20180906,31750,32550,31750,32050,
20180905,32500,32700,32050,32050,
20180904,32900,33000,32350,32500,
20180903,33500,33500,32850,32900,
20180831,33900,33900,33250,33650,
20180830,34900,34900,33700,34000,
20180829,34400,35400,34400,34650,
20180828,35050,35200,34250,34300,
20180827,32900,34700,32850,34550,
20180824,32300,32650,31950,32400,
20180823,33600,33650,32550,32650,
20180822,32200,33700,32150,33350,
20180821,32100,32300,31450,31900,
20180820,31700,32600,31650,32300,
20180817,32050,32300,31200,31300,
20180816,31500,31800,30500,31200,
20180814,32100,32300,31800,32200,
20180813,32700,32700,31750,31900,
20180810,32850,33200,32550,32900,
20180809,33300,33300,32550,32700,
20180808,33600,34200,33450,33450,
20180807,34100,34100,33300,33500,
20180806,32250,34450,32250,34200,
20180803,31950,32650,31700,32450,
20180802,32200,33050,31600,31700,
20180801,32800,33000,32400,32700,
20180731,33100,33200,32350,32700,
20180730,34550,34550,32100,33400,
20180727,35500,35700,34550,35250,
20180726,34850,36250,34550,35500,
20180725,33900,35400,33900,34550,
20180724,31500,33550,31500,33250,
20180723,31250,32200,31150,31550,
20180720,33050,33050,30800,31050,
20180719,33450,33900,33050,33050,
20180718,33700,34100,33500,33600,
20180717,32850,33950,32850,33650,
20180716,32900,33250,32600,32850,
20180713,33300,33850,32600,32900,
20180712,32650,33700,32500,33450,
20180711,32900,33200,32300,32650,
20180710,32300,33950,32300,33350,
20180709,32800,32800,31900,32150,
20180706,32450,33100,32000,33000,
20180705,32650,33000,32000,32350,
20180704,32000,33450,32000,32800,
20180703,32700,32800,31850,32550,
20180702,33650,33650,32200,32400,
20180629,33800,34150,33050,34050,
20180628,33900,34400,33150,33650,
20180627,34550,34550,33550,33600,
20180626,33900,35050,33800,34550,
20180625,33350,34500,32750,34400,
20180622,32650,33450,32150,33150,
20180621,34250,34600,33100,33150,
20180620,34650,35000,33850,34150,
20180619,36200,36650,34550,34650,
20180618,37900,38200,36300,36550,
20180615,38900,39150,38000,38400,
20180614,40450,40450,38650,39150,
20180612,41350,41700,39850,40450,
20180611,40400,41350,40350,40850,
20180608,40500,41250,39300,40350,
20180607,39100,41350,39000,40850,
20180605,37600,38950,37600,37950,
20180604,36300,37850,35700,37550,
20180601,35950,36500,35600,36350,
20180531,36500,36500,35750,35950,
20180530,37150,37400,36150,36400,
20180529,38000,38000,37350,37500,
20180528,37850,38500,37700,37950,
20180525,38450,39200,37200,37700,
20180524,39000,39000,38000,38150,
20180523,39700,39750,38850,38950,
20180521,40750,40750,39350,39700,
20180518,39850,40900,39500,40450,
20180517,40450,41500,40000,40100,
20180516,41150,41300,39650,40250,
20180515,42200,42400,41000,41700,
20180514,40900,42350,40600,41950,
20180511,38450,40650,38450,40250,
20180510,36850,38000,36850,37950,
20180509,37100,37200,36750,36950,
20180508,37300,37350,36600,37200,
20180504,37400,37900,37050,37100,
20180503,37700,38100,37100,37750,
20180502,38050,39400,37550,37900,
20180430,37400,38400,37400,38150,
20180427,37750,38250,37550,37600,
20180426,37500,37950,37200,37750,
20180425,38300,38300,37450,37500,
20180424,38800,38900,37900,38500,
20180423,39450,39700,38500,38800,
20180420,39700,39700,38600,39500,
20180419,38250,39700,37700,39600,
20180418,37450,38050,37200,37350,
20180417,37500,37550,37050,37400,
20180416,37400,37650,36700,37300,
20180413,38000,38100,37200,37250,
20180412,37700,38450,37650,37950,
20180411,37750,37850,37350,37400,
20180410,37000,37750,36750,37650,
20180409,37200,37450,36700,37000,
20180406,38250,38250,37300,37850,
20180405,38350,38800,38000,38100,
20180404,39200,39250,38250,38300,
20180403,39600,39650,38750,39000,
20180402,39500,40450,39450,39650,
20180330,38550,39350,38550,39250,
20180329,39050,39450,38100,38450,
20180328,39150,39800,38550,39050,
20180327,39700,39700,38900,39400,
20180326,38150,39500,38100,39250,
20180323,39500,39700,38500,38600,
20180322,40100,40400,39850,40000,
20180321,40500,40700,39500,40150,
20180320,41100,41250,40600,40800,
20180319,41800,42050,41300,41500,
20180316,41750,41850,41200,41300,
20180315,40900,42200,40900,41900,
20180314,40950,41000,40500,40800,
20180313,41400,41550,40900,41400,
20180312,41500,41850,41050,41450,
20180309,41500,41800,40500,41200,
20180308,40400,41600,40400,41600,
20180307,41200,41350,40400,40400,
20180306,40900,41950,40700,41200,
20180305,42200,42400,40300,40350,
20180302,42500,42900,42150,42200,
20180228,43600,43950,43050,43050,
20180227,44450,44850,44100,44200,
20180226,44500,45300,44050,44500,
20180223,43800,44150,43550,44000,
20180222,43950,44200,43100,43500,
20180221,44450,44500,43750,44200,
20180220,44650,44700,43700,44500,
20180219,43150,44850,43100,44600,
20180214,42550,42600,41700,42300,
20180213,42600,42800,41900,42300,
20180212,42750,42750,42050,42300,
20180209,42500,43000,42000,42700,
20180208,42600,43600,42550,43600,
20180207,44550,44600,43000,43000,
20180206,42350,44000,42250,43850,
20180205,45200,45200,43550,44050,
20180202,47800,47800,45300,45750,
20180201,50600,50700,49600,50000,
20180131,51000,51200,49450,50300,
20180130,52000,52900,51400,51800,
20180129,51400,52000,50900,51800,
20180126,51400,51700,50600,51000,
20180125,50300,51600,50300,51400,
20180124,50400,50800,49550,49700,
20180123,50300,51400,49850,51000,
20180122,50300,50500,49550,50200,
20180119,49100,51200,48200,50900,
20180118,49300,50800,49200,49350,
20180117,50900,50900,48800,49200,
20180116,51900,52800,50600,50900,
20180115,51900,52500,51400,52200,
20180112,49600,50900,48950,50700,
20180111,51500,51600,48600,49600,
20180110,51800,51800,50600,50800,
20180109,50000,52700,49750,51400,
20180108,50500,50500,48950,50100,
20180105,48000,50700,48000,50300,
20180104,49550,49700,47800,47800,
20180103,49600,49950,48500,49650,
20180102,48200,50000,48200,49600,
20171228,47300,48200,46850,47500,
20171227,46500,47250,46200,46600,
20171226,46750,47600,46450,46500,
20171222,46300,46750,45700,46250,
20171221,46750,47250,45900,46200,
20171220,45100,47150,44800,46000,
20171219,43750,45100,43750,44300,
20171218,44600,44700,43250,43750,
20171215,42400,44550,42400,44450,
20171214,43200,43600,42150,42150,
20171213,42900,43700,42500,43100,
20171212,42400,43350,42400,42900,
20171211,41900,42850,41900,42650,
20171208,43000,43550,41800,42100,
20171207,44000,44650,43050,43050,
20171206,45400,45600,44000,44000,
20171205,45600,46000,45050,45850,
20171204,44650,45650,44550,45450,
20171201,45350,45650,44400,44550,
20171130,45550,46850,44950,44950,
20171129,46550,46600,45100,45150,
20171128,46150,47450,45650,46150,
20171127,45900,47100,44900,46300,
20171124,46700,46750,45400,45500,
20171123,44400,46650,44350,46300,
20171122,44500,45200,43700,43800,
20171121,45200,45250,43800,44200,
20171120,45450,45600,44850,44850,
20171117,46000,46450,45350,45700,
20171116,45650,46350,45100,45900,
20171115,47050,47200,45600,46000,
20171114,46850,48000,46850,47000,
20171113,47300,48000,46700,46700,
20171110,48650,48650,47400,47600,
20171109,48200,48750,48050,48350,
20171108,48650,48750,48000,48200,
20171107,48950,50000,48750,49200,
20171106,49650,49750,48600,49100,
20171103,50000,50600,49050,49500,
20171102,49600,50800,49600,49750,
20171101,49100,49500,48800,49200,
20171031,49700,49800,48450,49050,
20171030,49350,50200,48050,49900,
20171027,50700,51800,50100,51400,
20171026,52100,52100,50600,50900,
20171025,54900,54900,52200,52300,
20171024,54700,55200,53700,55200,
20171023,55500,55700,54500,54600,
20171020,54500,56000,54000,55400,
20171019,55700,56400,54600,54600,
20171018,58100,58100,56400,56900,
20171017,57000,58900,56400,58600,
20171016,54800,56300,54600,56000,
20171013,55300,56000,54300,54800,
20171012,55200,56500,55000,55300,
20171011,55100,55700,54200,55200,
20171010,52300,55200,52000,55100,
20170929,51900,52000,50500,51300,
20170928,50100,51200,49550,51100,
20170927,52000,52000,50100,50100,
20170926,50300,51900,50200,51500,
20170925,49900,50800,49600,50000,
20170922,51900,51900,48450,49900,
20170921,51400,52000,50400,51900,
20170920,53500,53500,51600,51700,
20170919,52700,53700,52400,52900,
20170918,52300,53200,51400,52700,
20170915,53500,53500,50800,52100,
20170914,54900,55000,53100,53200,
20170913,55700,55700,54700,54800,
20170912,54100,55800,53600,55800,
20170911,54000,55000,53000,53600,
20170908,55400,55900,54100,55000,
20170907,55400,56200,54400,55900,
20170906,56000,56100,54200,55200,
20170905,56600,56800,55800,55900,
20170904,55400,57300,55400,55900,
20170901,57500,57600,55700,56200,
20170831,56500,57600,56400,57000,
20170830,56300,56600,55600,56100,
20170829,54600,56600,54000,55600,
20170828,54300,56600,54000,54600,
20170825,54200,54200,53600,54100,
20170824,53300,54200,53100,53800,
