,open,high,low,close,vol
20181031,29450,29700,28750,28950,
20181030,28300,29300,27950,29000,
20181029,29500,30500,28800,28900,
20181026,31150,31350,29450,29700,
20181025,30750,31150,30050,30800,
20181024,31200,31700,30850,31150,
20181023,31650,32250,30800,30950,
20181022,31750,31800,31400,31650,
20181019,31950,32200,31400,32150,
20181018,32000,32800,31850,32200,
20181017,32500,32650,31950,32200,
20181016,31650,32000,31150,31600,
20181015,31500,32300,31200,31350,
20181012,30450,32550,30100,31450,
20181011,30800,31400,30500,30600,
20181010,33800,33950,32100,32250,
20181008,33350,34350,33150,33500,
20181005,33000,33450,31800,33350,
20181004,33250,33750,33050,33050,
20181002,33150,33900,32850,33250,
20181001,35500,35650,33050,33250,
20180928,38400,38900,35000,35100,
20180927,48050,51600,47400,50000,
20180921,47600,48150,45550,46250,
20180920,45450,47450,45400,47050,
20180919,45850,45900,45150,45400,
20180918,45050,45800,44750,45750,
20180917,45750,45850,45100,45150,
20180914,44850,45500,44400,45500,
20180913,44450,44950,44250,44450,
20180912,44100,44650,43500,44450,
20180911,44900,44900,43600,44000,
20180910,44850,45300,44000,44850,
20180907,42900,43450,42500,43400,
20180906,41850,42550,41850,42350,
20180905,41500,42500,41500,41850,
20180904,41550,41850,41050,41400,
20180903,41850,42850,41650,41700,
20180831,41050,41750,40550,41750,
20180830,40600,41050,40250,41000,
20180829,41150,41200,40350,40600,
20180828,40150,40650,39950,40650,
20180827,40750,41000,39900,39950,
20180824,39600,40600,39300,40400,
20180823,40250,40450,39500,39700,
20180822,40300,41150,40300,40600,
20180821,40000,40600,39600,40250,
20180820,40700,41150,40050,40150,
20180817,38850,40400,38350,39750,
20180816,38300,38400,37400,38100,
20180814,38050,38500,36900,38300,
20180813,37100,38150,37050,37850,
20180810,36000,36700,35350,36500,
20180809,36950,37050,35800,35800,
20180808,35500,37200,35450,36500,
20180807,35450,35550,35050,35500,
20180806,35300,35600,35250,35450,
20180803,34550,35400,34550,35250,
20180802,35050,35400,34400,34500,
20180801,35600,35600,34850,35300,
20180731,35050,35550,34800,35150,
20180730,35000,35100,34350,34900,
20180727,34250,35050,34200,35000,
20180726,34800,34850,33900,34200,
20180725,34550,35350,34300,34550,
20180724,33500,34400,33300,34350,
20180723,32550,33500,32400,33050,
20180720,32300,32750,31700,32500,
20180719,33550,33650,31750,32200,
20180718,35450,36500,34300,34450,
20180717,37950,38350,37800,38000,
20180716,38400,38750,37100,37750,
20180713,40450,40650,37850,38100,
20180712,40550,40800,40300,40300,
20180711,40600,40750,40100,40200,
20180710,43450,44350,42850,43000,
20180709,42900,43450,42200,43250,
20180706,40800,42250,40750,41800,
20180705,41100,41350,40300,40650,
20180704,40600,41850,40600,41200,
20180703,41100,41300,40350,40950,
20180702,40950,42600,40850,41000,
20180629,42400,42450,40700,41200,
20180628,42300,43150,42150,42400,
20180627,42350,43700,42100,42100,
20180626,41950,42750,41200,42400,
20180625,40050,42400,40050,41850,
20180622,40050,41250,39900,40300,
20180621,42400,42550,40400,40750,
20180620,43700,44450,41100,42150,
20180619,45000,45850,44400,44450,
20180618,46050,46500,44900,45150,
20180615,44550,46350,44400,45600,
20180614,46300,46400,44500,44550,
20180612,46550,46700,45800,45900,
20180611,47600,48150,45750,45900,
20180608,47700,47700,46350,46400,
20180607,45000,48800,44850,47700,
20180605,45450,45500,44150,44400,
20180604,44650,45500,44350,45250,
20180601,44500,45350,44150,44350,
20180531,44700,45550,43900,44000,
20180530,45350,45600,44100,44300,
20180529,43500,45950,43450,45450,
20180528,43550,43700,43050,43500,
20180525,45400,45800,43850,44500,
20180524,43400,44100,43400,43850,
20180523,43900,44500,43150,43350,
20180521,45300,45300,44450,44500,
20180518,44500,45050,44200,44650,
20180517,44900,45350,43800,43850,
20180516,44300,44850,43350,44350,
20180515,43400,44000,42700,42850,
20180514,42700,43800,42700,43150,
20180511,42400,43400,42400,43000,
20180510,43700,43850,42100,42150,
20180509,44800,45850,44150,44300,
20180508,45700,46300,44900,45100,
20180504,42500,45900,41800,45350,
20180503,41200,43100,41150,42600,
20180502,42900,42950,41100,41350,
20180430,44800,44850,43000,43200,
20180427,45500,46550,45100,45150,
20180426,44350,45400,44200,45300,
20180425,44350,44800,44100,44300,
20180424,43500,44450,43500,44100,
20180423,45050,45200,43600,43800,
20180420,45700,45700,45000,45200,
20180419,46800,46800,45300,45800,
20180418,46150,47400,46000,46800,
20180417,46700,46900,46000,46100,
20180416,47400,47650,46500,46650,
20180413,47750,47750,47200,47300,
20180412,47950,48050,47150,47150,
20180411,47800,48250,47650,47900,
20180410,48100,48600,47550,47850,
20180409,48450,48500,47600,47800,
20180406,49000,49450,48450,48600,
20180405,48550,48950,48150,48500,
20180404,49450,49500,48050,48200,
20180403,48700,49200,48300,48950,
20180402,50100,50200,48950,49100,
20180330,50600,50700,49800,49950,
20180329,50500,50700,49700,49950,
20180328,50700,51200,50200,50400,
20180327,50300,52100,50100,51000,
20180326,49000,49600,48600,49200,
20180323,50300,50800,49000,49150,
20180322,52400,52900,51100,51500,
20180321,49500,53300,49500,52600,
20180320,49650,50400,48800,49300,
20180319,50500,50600,49450,49800,
20180316,49600,50900,49600,50600,
20180315,50100,50100,49250,49800,
20180314,50000,50500,49800,50100,
20180313,49800,51200,49500,50500,
20180312,48750,50300,48400,50200,
20180309,47800,49300,47550,48250,
20180308,48450,48500,47300,47450,
20180307,48550,48850,47200,47900,
20180306,49850,49900,49100,49100,
20180305,48900,50200,48850,49250,
20180302,49500,49800,48650,48900,
20180228,51300,51700,50200,50300,
20180227,51700,52000,51000,51600,
20180226,51700,52000,50800,50900,
20180223,50100,51800,50000,51400,
20180222,49750,50500,49200,49950,
20180221,48850,50300,48350,50000,
20180220,49100,49400,48400,48850,
20180219,46050,49650,46000,49050,
20180214,45300,46700,45200,46550,
20180213,46400,46650,45100,45400,
20180212,46300,46650,46050,46200,
20180209,46350,46700,45900,46050,
20180208,47600,48050,47100,47400,
20180207,48650,49200,47250,47250,
20180206,47150,48350,46900,47750,
20180205,50100,50200,48850,48950,
20180202,51700,52300,50300,50500,
20180201,52400,53100,51500,51700,
20180131,52800,53500,52100,52600,
20180130,55400,55900,53300,53500,
20180129,56000,56500,55100,55200,
20180126,54800,56200,54700,55400,
20180125,55200,56200,54100,54600,
20180124,53500,55000,53500,54800,
20180123,53500,54000,52400,53500,
20180122,53500,53800,52300,53400,
20180119,53100,53700,52200,52900,
20180118,54400,54900,53000,53300,
20180117,51500,54500,51000,54100,
20180116,47850,51300,47350,51000,
20180115,48500,48550,47700,48100,
20180112,47850,48050,47050,47250,
20180111,48250,48600,47800,47850,
20180110,48000,48450,47550,48150,
20180109,47500,48850,47350,48350,
20180108,48100,48400,47300,47600,
20180105,48900,49000,47850,48200,
20180104,48800,49650,48750,48900,
20180103,48500,50500,48500,49000,
20180102,46500,48850,46100,48400,
20171228,46650,47500,46450,47450,
20171227,46450,46700,45800,46700,
20171226,46200,46750,46100,46100,
20171222,46950,47100,45900,46200,
20171221,47700,48400,46850,46950,
20171220,47500,48300,47150,47600,
20171219,46950,48250,46400,46700,
20171218,46900,47200,46300,46350,
20171215,46650,47000,46450,46900,
20171214,47250,47300,46400,46550,
20171213,47350,48150,47000,47050,
20171212,46600,48650,46600,47350,
20171211,46200,47100,46150,46400,
20171208,48800,48850,45800,46150,
20171207,49600,50100,48200,48800,
20171206,50500,50700,49600,49700,
20171205,49900,51300,49400,50400,
20171204,49600,50500,49300,49900,
20171201,50400,50500,48900,49050,
20171130,50000,51000,49550,50100,
20171129,51000,51600,49500,49850,
20171128,51000,51600,50300,50500,
20171127,52000,52200,51100,51200,
20171124,52000,52300,51600,51800,
20171123,51700,53000,51400,51700,
20171122,52400,52700,51500,51600,
20171121,53600,53600,51600,52000,
20171120,55000,55600,53400,53400,
20171117,53300,53700,52300,52400,
20171116,50800,53400,50700,53200,
20171115,51300,52200,50200,50500,
20171114,50100,51600,49900,51000,
20171113,52600,52700,50100,50500,
20171110,54100,54300,52800,52900,
20171109,55700,55700,54200,54500,
20171108,55800,56400,54100,54800,
20171107,56300,56600,55400,55400,
20171106,56700,57000,55100,56200,
20171103,56300,57700,56200,56900,
20171102,56900,58000,56200,56300,
20171101,56800,57700,56300,57000,
20171031,56200,57400,55300,56800,
20171030,57800,57900,56100,56100,
20171027,55600,58300,55600,56800,
20171026,55200,56700,55000,55500,
20171025,54300,56300,52700,55600,
20171024,57100,57700,53500,54100,
20171023,58600,58800,56000,56700,
20171020,56800,60600,56700,58400,
20171019,55600,56300,52400,56200,
20171018,47700,47700,47700,47700,
20171017,47700,47700,47700,47700,
20171016,47700,47700,47700,47700,
20171013,47700,47700,47700,47700,
20171012,47700,47700,47700,47700,
20171011,47700,47700,47700,47700,
20171010,44200,47850,44200,47700,
20170929,43450,44150,43000,43700,
20170928,43200,43300,42550,42700,
20170927,43250,44000,42350,43650,
20170926,44600,44800,43350,43650,
20170925,44100,45900,43900,44000,
20170922,43000,44450,42550,43900,
20170921,46200,46850,43250,43500,
20170920,45500,46950,45450,46200,
20170919,45600,46750,45250,46350,
20170918,46500,47000,45850,45950,
20170915,46850,47750,46750,47350,
20170914,47000,47850,46300,46750,
20170913,45450,46250,44700,45750,
20170912,46200,46300,45200,45500,
20170911,45400,46650,44500,45950,
20170908,46950,48250,45550,46100,
20170907,43000,46900,43000,46350,
20170906,43900,44600,42700,42900,
20170905,44750,45150,43600,44100,
20170904,44900,46050,44600,44700,
20170901,46100,46350,45250,45650,
20170831,46400,46800,45800,46250,
20170830,46000,46050,45350,45950,
20170829,45100,46600,45000,46050,
20170828,44500,46150,44500,45900,
20170825,42100,43900,41750,43350,
20170824,42300,42350,41300,41500,
20170823,41650,42100,41100,41750,
20170822,42300,42550,40350,40750,
20170821,42150,43500,41950,42000,
20170818,42800,43400,42150,42600,
20170817,43150,44350,41200,42850,
20170816,41400,45700,40500,42850,
20170814,38200,38250,35750,36900,
20170811,39500,40200,38350,38650,
20170810,39600,40400,39250,39700,
20170809,39500,40650,39300,39500,
20170808,41200,41200,39250,39800,
20170807,39200,41450,39000,40900,
20170804,37600,39750,37000,39000,
20170803,41300,41950,38150,38500,
20170802,52200,52300,41900,43800,
20170801,51900,53000,51600,52500,
20170731,52300,52400,51200,51700,
20170728,51800,52100,51200,51200,
20170727,51900,52500,51300,51800,
20170726,52000,52400,51100,52000,
20170725,51100,52500,50800,51900,
20170724,50000,50700,49250,50500,
20170721,51100,51100,50100,50400,
20170720,50700,51600,49500,51000,
20170719,48650,50900,48500,50200,
20170718,50100,50700,47650,47950,
20170717,53100,53200,50500,51000,
20170714,61100,62300,56300,57600,
20170713,61300,61400,60100,61000,
20170712,61400,61900,60200,60400,
