,open,high,low,close,vol
20181031,2029.69,2029.69,2029.69,2029.69,
20181030,2024.46,2024.46,2024.46,2024.46,
20181029,1996.05,1996.05,1996.05,1996.05,
20181026,2027.15,2027.15,2027.15,2027.15,
20181025,2046.67,2066.06,2033.81,2063.3,
20181024,2119.19,2121.36,2092.1,2097.58,
20181023,2147.3,2148.8,2094.69,2106.1,
20181022,2143.08,2163.21,2136.92,2161.71,
20181019,2130.06,2158.78,2117.62,2156.26,
20181018,2158.8,2168.01,2146.61,2148.31,
20181017,2169.44,2182.77,2159.37,2167.51,
20181016,2156,2161.76,2140.19,2145.12,
20181015,2155.34,2159.23,2141.28,2145.12,
20181012,2131.66,2173.01,2129.13,2161.85,
20181011,2176.16,2186.69,2129.67,2129.67,
20181010,2256.03,2257.52,2222.95,2228.61,
20181008,2258.73,2273.71,2253.83,2253.83,
20181005,2269.94,2278.12,2250.99,2267.52,
20181004,2311.06,2311.06,2270.22,2274.49,
20181002,2338.28,2341.55,2308.9,2309.57,
20181001,2349.64,2352.11,2333.32,2338.88,
20180928,2356.13,2356.62,2337.47,2343.07,
20180927,2331.7,2355.43,2331.7,2355.43,
20180921,2332.04,2339.17,2325.12,2339.17,
20180920,2314.41,2334.04,2311.56,2323.45,
20180919,2319.22,2319.22,2301.79,2308.46,
20180918,2287.73,2310.97,2287.42,2308.98,
20180917,2314.55,2314.55,2295.26,2303.01,
20180914,2304.7,2318.65,2304.15,2318.25,
20180913,2285.28,2291.51,2281.63,2286.23,
20180912,2286.28,2289.66,2271,2282.92,
20180911,2286.91,2295.76,2275.13,2283.2,
20180910,2277.35,2289.38,2276.6,2288.66,
20180907,2278.08,2286.82,2264.9,2281.58,
20180906,2288.8,2298.47,2284.5,2287.61,
20180905,2310.9,2315.43,2288.01,2291.77,
20180904,2308.96,2317.74,2302.17,2315.72,
20180903,2317.93,2318.72,2302.17,2307.03,
20180831,2298.13,2322.88,2295.72,2322.88,
20180830,2313.11,2320.85,2305.46,2307.35,
20180829,2304.66,2309.88,2300.21,2309.03,
20180828,2312.14,2314.6,2299.45,2303.12,
20180827,2297.32,2302.87,2289.41,2299.3,
20180824,2276.16,2295.22,2271.35,2293.21,
20180823,2282.57,2282.88,2268.06,2282.6,
20180822,2273.68,2280.31,2268.91,2273.33,
20180821,2248.04,2272.86,2244.59,2270.06,
20180820,2257.35,2264.42,2245.06,2247.88,
20180817,2244.61,2250.92,2240.14,2247.05,
20180816,2233.05,2244.08,2218.09,2240.8,
20180814,2249.86,2262.52,2247.37,2258.91,
20180813,2266.43,2271.82,2238.55,2248.45,
20180810,2295.21,2295.62,2277.89,2282.79,
20180809,2303.04,2303.71,2291.91,2303.71,
20180808,2305.73,2308.6,2298.41,2301.45,
20180807,2290.85,2301.27,2279.55,2300.16,
20180806,2288.51,2300.38,2283.26,2286.5,
20180803,2278.33,2288.93,2272.94,2287.68,
20180802,2304.14,2306.72,2265.46,2270.2,
20180801,2301.17,2312.65,2301.13,2307.07,
20180731,2292.23,2296.6,2286.02,2295.26,
20180730,2290.18,2296.91,2283.29,2293.51,
20180727,2292.33,2295.27,2284.44,2294.99,
20180726,2284.51,2297.16,2276.54,2289.06,
20180725,2284.38,2292.61,2269.67,2273.03,
20180724,2273.15,2284.43,2263.13,2280.2,
20180723,2289.61,2289.61,2264.42,2269.31,
20180720,2281.36,2293.34,2269.55,2289.19,
20180719,2298.91,2300.18,2278.94,2282.29,
20180718,2313.78,2319.39,2287.1,2290.11,
20180717,2302.95,2306.07,2290.24,2297.92,
20180716,2312.26,2317.84,2299.79,2301.99,
20180713,2293.07,2313.8,2293.07,2310.9,
20180712,2285.93,2298.56,2277.73,2285.06,
20180711,2277.22,2287.08,2262.77,2280.62,
20180710,2299.09,2305.84,2292.13,2294.16,
20180709,2276.92,2294.61,2267.25,2285.8,
20180706,2261.44,2283.75,2247.35,2272.87,
20180705,2264.74,2274.74,2243.9,2257.55,
20180704,2270.95,2280.81,2261.34,2265.46,
20180703,2285.88,2287.39,2252.36,2272.76,
20180702,2322.23,2327.59,2271.53,2271.54,
20180629,2325.68,2329.58,2296.39,2326.13,
20180628,2327.37,2335.35,2310.8,2314.24,
20180627,2349.38,2358.71,2342.02,2342.03,
20180626,2334.75,2358.01,2326.61,2350.92,
20180625,2351.89,2361.39,2337.22,2357.88,
20180622,2323.08,2357.4,2320.76,2357.22,
20180621,2364.16,2370.58,2337.83,2337.83,
20180620,2350.24,2374.52,2345.22,2363.91,
20180619,2373.12,2379.49,2336.54,2340.11,
20180618,2404.68,2405.56,2365.31,2376.24,
20180615,2432.18,2433.51,2403.97,2404.04,
20180614,2450.86,2451.95,2422.37,2423.48,
20180612,2474.78,2479.56,2462.84,2468.83,
